index,card_name,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFM_score,customer_segment
2,Aaron Berg,226,8,3095.12,3,3,3,333,Premium Customer
13,Aaron Coleman,285,9,4566.87,4,4,4,444,Premium Customer
35,Aaron Holmes,408,9,4051.3200000000006,4,4,4,444,Premium Customer
36,Aaron Holt,278,8,5448.780000000001,4,3,4,434,Premium Customer
52,Aaron Madden,151,9,5654.96,3,4,4,344,Premium Customer
56,Aaron Massey,172,8,3592.9500000000003,3,3,3,333,Premium Customer
89,Aaron Sanford,515,8,3597.29,4,3,3,433,Premium Customer
93,Aaron Smith,176,10,3740.67,3,4,3,343,Premium Customer
104,Aaron Warren,174,9,3528.32,3,4,3,343,Premium Customer
109,Aaron Wong,145,8,3864.35,3,3,3,333,Premium Customer
123,Abigail Harper,328,8,3874.14,4,3,3,433,Premium Customer
129,Abigail Miller,353,11,6167.599999999999,4,4,4,444,Premium Customer
161,Adam Carter,232,9,5145.990000000001,3,4,4,344,Premium Customer
164,Adam Cobb,261,9,5323.05,3,4,4,344,Premium Customer
170,Adam Erickson,485,9,3032.7299999999996,4,4,3,443,Premium Customer
176,Adam Freeman,294,9,5422.72,4,4,4,444,Premium Customer
189,Adam Henderson,393,10,4542.12,4,4,4,444,Premium Customer
195,Adam Jones,168,8,3047.5299999999997,3,3,3,333,Premium Customer
199,Adam Kidd,248,10,4951.9400000000005,3,4,4,344,Premium Customer
201,Adam Lambert,414,10,4399.21,4,4,4,444,Premium Customer
205,Adam Lopez,322,8,4211.46,4,3,4,434,Premium Customer
210,Adam Mclean,142,11,4474.3099999999995,3,4,4,344,Premium Customer
215,Adam Morgan,400,10,3898.0699999999997,4,4,3,443,Premium Customer
217,Adam Morrison,168,10,3810.2000000000003,3,4,3,343,Premium Customer
220,Adam Nelson,199,8,3643.6800000000003,3,3,3,333,Premium Customer
225,Adam Owen,252,9,6059.280000000001,3,4,4,344,Premium Customer
238,Adam Simmons,170,10,3770.91,3,4,3,343,Premium Customer
240,Adam Smith,166,11,5487.38,3,4,4,344,Premium Customer
244,Adam Tate,373,8,3447.55,4,3,3,433,Premium Customer
247,Adam Thompson,151,12,5746.26,3,4,4,344,Premium Customer
265,Adam Williams,238,10,6569.88,3,4,4,344,Premium Customer
277,Adrian Garcia,651,8,3880.3300000000004,4,3,3,433,Premium Customer
290,Adrian Russell,466,8,4282.6900000000005,4,3,4,434,Premium Customer
301,Adrienne Anderson,434,8,3711.4500000000003,4,3,3,433,Premium Customer
307,Adrienne Quinn,148,8,3006.8200000000006,3,3,3,333,Premium Customer
315,Aimee Johnson,577,8,3401.3599999999997,4,3,3,433,Premium Customer
331,Alan Everett,142,10,4818.740000000001,3,4,4,344,Premium Customer
355,Alan Parker,222,10,3083.04,3,4,3,343,Premium Customer
356,Alan Pena,418,8,5600.16,4,3,4,434,Premium Customer
357,Alan Pierce,268,10,3992.1800000000003,3,4,4,344,Premium Customer
359,Alan Shaffer,397,8,3819.3500000000004,4,3,3,433,Premium Customer
360,Alan Spencer,270,8,3973.85,3,3,4,334,Premium Customer
364,Albert Allen,210,9,4743.81,3,4,4,344,Premium Customer
371,Albert Cook,143,11,3768.2400000000002,3,4,3,343,Premium Customer
387,Albert Price,236,9,3894.47,3,4,3,343,Premium Customer
398,Alec Hernandez,412,8,3294.2200000000003,4,3,3,433,Premium Customer
402,Alejandra Pena,205,9,3671.39,3,4,3,343,Premium Customer
414,Alejandro Martin,486,9,3277.2500000000005,4,4,3,443,Premium Customer
421,Alex Alvarez,421,8,3263.96,4,3,3,433,Premium Customer
428,Alex Castro,221,10,5737.959999999999,3,4,4,344,Premium Customer
432,Alex Cunningham,307,8,4190.99,4,3,4,434,Premium Customer
451,Alex Morrison,468,9,6259.279999999999,4,4,4,444,Premium Customer
457,Alex Perry,505,8,4062.17,4,3,4,434,Premium Customer
465,Alex Stewart,149,8,3291.13,3,3,3,333,Premium Customer
485,Alexa Smith,226,8,3029.6499999999996,3,3,3,333,Premium Customer
486,Alexa Stewart,190,8,4173.4,3,3,4,334,Premium Customer
489,Alexa West,162,9,3985.9300000000003,3,4,4,344,Premium Customer
506,Alexander Castaneda,427,8,4171.54,4,3,4,434,Premium Customer
510,Alexander Cruz,183,10,5964.87,3,4,4,344,Premium Customer
512,Alexander Delgado,147,11,7492.9400000000005,3,4,4,344,Premium Customer
516,Alexander Evans,235,9,4374.59,3,4,4,344,Premium Customer
