transaction_id,transaction_date,card_number,card_type,merchant_name,merchant_category,merchant_state,merchant_city,transaction_status,transaction_amount,merchant_category_code,fraud_flag,cardholder_name,items,prices
1ANBFI-TOFZ-J1FHXR,2023-02-17 07:16,4318249446099857,visa,Subway,Fast Food,New Hampshire,Manchester,Declined,6.59,MCC 5814,0,James Lee,['Italian BMT'],[6.59]
UIF4NV-FC9E-XKCNBG,2023-03-22 17:22,4101211350337682,visa,Subway,Fast Food,New Hampshire,Nashua,Declined,6.59,MCC 5814,0,Gabriella Hicks,['Italian BMT'],[6.59]
75UXRX-LGYI-JC802K,2023-06-14 16:49,4436281502955562,visa,Subway,Fast Food,Maine,Lewiston,Successful,6.59,MCC 5814,0,Mr. Eduardo Ford,['Italian BMT'],[6.59]
3D1LES-NSWC-UGGOMS,2023-03-23 07:13,4426321457580551,visa,Subway,Fast Food,Georgia,Augusta,Declined,13.08,MCC 5814,0,Justin Francis,"['Italian BMT', 'Oven Roasted Chicken']","[6.59, 6.49]"
8G8LEE-313G-XFTWHT,2023-03-13 22:42,4947626214893547,visa,Subway,Fast Food,New Hampshire,Nashua,Pending,6.59,MCC 5814,0,Sara Reese,['Italian BMT'],[6.59]
0008EJ-ETZM-MBA5Z2,2023-05-28 21:48,4591163080120036,visa,Subway,Fast Food,Hawaii,Honolulu,Successful,6.59,MCC 5814,0,Frances Humphrey,['Italian BMT'],[6.59]
7J5H6O-2ODC-0T30XR,2023-02-10 21:39,4324558962825822,visa,Subway,Fast Food,North Dakota,Fargo,Successful,6.59,MCC 5814,0,Karen Brown,['Italian BMT'],[6.59]
LA0TAW-2ZUJ-QJYPSO,2023-04-29 19:44,4062386958693756,visa,Subway,Fast Food,Maryland,Columbia,Successful,19.07,MCC 5814,0,Sara Reese,"['Italian BMT', 'Oven Roasted Chicken', 'Meatball Marinara']","[6.59, 6.49, 5.99]"
P6NNQU-9P1E-ZRWL6Q,2023-03-11 12:37,4308840260314349,visa,Subway,Fast Food,Delaware,Dover,Declined,6.59,MCC 5814,0,Courtney Bailey,['Italian BMT'],[6.59]
D3TN6E-E8HW-SSRUOI,2023-06-19 09:13,4344603280146240,visa,Subway,Fast Food,North Carolina,Charlotte,Successful,6.59,MCC 5814,0,Eric Campos,['Italian BMT'],[6.59]
