,transaction_id,transaction_date,cardholder_name,card_number,card_type,merchant_name,merchant_category,merchant_state,merchant_city,transaction_status,transaction_amount,merchant_category_code,fraud_flag
0,5WFUH5-VMPB-RHOXKV,2020-01-17 16:30:00,Miss Vanessa Briggs MD,4533948622139044,visa,McDonald's,Fast Food,Montana,Missoula,Successful,11.516379321831328,MCC 5814,0
1,TW1LD6-3CGZ-MQW4KN,2022-08-26 22:41:00,Casey Lyons,4350240875308199,visa,Domino's Pizza,Fast Food,Ohio,Cleveland,Pending,12.739791817658674,MCC 5814,0
2,DKKV7Q-H2LA-406TWY,2018-04-18 20:25:00,Cynthia Munoz,4756687869818916,visa,McDonald's,Fast Food,Massachusetts,Worcester,Declined,20.89988816403921,MCC 5814,0
3,3D0M9F-IAZ0-UANAA7,2018-03-10 12:07:00,Jeffrey Atkinson,4806484616398735,visa,McDonald's,Fast Food,Ohio,Columbus,Pending,16.466554988921946,MCC 5814,0
4,DYAGZ9-7S25-N1FXOQ,2018-09-15 06:20:00,Heather Walker,4773028361743188,visa,Five Guys,Fast Food,Alaska,Anchorage,Declined,3.6465118064963953,MCC 5814,0
5,S4EF7C-EOIC-TA2VKJ,2018-12-01 12:02:00,Tanya Wright,4452726651297082,visa,Subway,Fast Food,Virginia,Norfolk,Pending,4.094332620020247,MCC 5814,0
7,Z7Z2GQ-WSMF-CEQT8V,2019-02-15 14:51:00,Sandra Griffith,4298947424761406,visa,Five Guys,Fast Food,Maryland,Baltimore,Successful,13.155289685879948,MCC 5814,0
8,JSMG13-VYKV-01J2J7,2019-10-05 08:30:00,Amanda Barron,4574670807484058,visa,Subway,Fast Food,Washington,Seattle,Pending,45.10928072045963,MCC 5814,0
9,SA861D-HYRH-WO8SOP,2023-03-08 22:11:00,Daniel Meza,4365545034405014,visa,Five Guys,Fast Food,Hawaii,Honolulu,Pending,0.30732153366671,MCC 5814,0
10,FQIZMU-SYDN-CUPV2O,2018-06-06 12:24:00,Jonathan Mosley,4711521997843690,visa,Chipotle,Fast Food,Nevada,Las Vegas,Pending,15.857404730341758,MCC 5814,1
11,PPRL0E-2P26-GMK2E1,2020-07-23 13:03:00,Emily Tucker,4202071695304591,visa,Subway,Fast Food,Mississippi,Gulfport,Successful,8.394935388264978,MCC 5814,0
12,4YOZP4-ZEQR-7X8B4P,2019-02-09 21:50:00,Larry Wright,4184070850475263,visa,McDonald's,Fast Food,New York,Buffalo,Successful,20.12363203342247,MCC 5814,0
13,KKV40K-S6HX-WJW47D,2022-12-08 19:38:00,Natasha Stafford,4626299662546401,visa,Chipotle,Fast Food,Alaska,Fairbanks,Pending,0.65406953344447,MCC 5814,1
14,49WVGA-PO5T-ROA5W6,2022-12-25 16:11:00,Tyler Barnes,4780834378780084,visa,McDonald's,Fast Food,Delaware,Wilmington,Pending,8.026982754533229,MCC 5814,0
15,SH2JWP-LV5O-HYY363,2021-01-06 17:08:00,Johnny Sloan,4892023019098693,visa,Five Guys,Fast Food,Nevada,Henderson,Declined,12.673294691407031,MCC 5814,1
16,1PCRQY-HWSX-M88DV6,2021-02-06 23:59:00,Scott Howell,4487085125327614,visa,Subway,Fast Food,Massachusetts,Worcester,Successful,30.617389035476176,MCC 5814,0
18,LI2AX7-0H7P-5SRZ14,2019-05-05 21:14:00,Victoria Scott,4630164900600408,visa,Chipotle,Fast Food,Kansas,Overland Park,Pending,7.961713200373184,MCC 5814,0
19,PM1NQ6-K6I7-864VQ1,2020-09-06 22:42:00,Robert Scott,4937288997407102,visa,McDonald's,Fast Food,Georgia,Atlanta,Declined,20.837371741488703,MCC 5814,0
20,IHHL4S-G1QR-HW68EA,2018-04-26 18:18:00,Joseph Martinez,4907265300264764,visa,McDonald's,Fast Food,New Hampshire,Manchester,Pending,8.24467895908246,MCC 5814,0
21,8H24NL-WPF8-5NSYR6,2019-03-17 22:54:00,Rebecca Jones,4870228039262205,visa,Subway,Fast Food,Ohio,Columbus,Successful,9.579138780440774,MCC 5814,1
